epoch,valid_acc,test_acc,train_losses
1,0.5904444444444444,0.5557,89297.375
2,0.5515555555555556,0.5211,89286.2734375
3,0.544,0.4991,89247.0703125
4,0.5245555555555556,0.4871,89209.03125
5,0.5233333333333333,0.47909999999999997,89171.140625
6,0.5132222222222222,0.4741000000000001,89134.953125
7,0.501,0.46220000000000006,89099.015625
8,0.5111111111111111,0.47829999999999995,89061.890625
9,0.49788888888888894,0.4626,89027.2421875
10,0.4955555555555555,0.46220000000000006,88991.3359375
11,0.492,0.45089999999999997,88955.703125
12,0.48677777777777786,0.45310000000000006,88919.984375
13,0.49522222222222223,0.4542999999999999,88885.4453125
14,0.49344444444444446,0.45699999999999996,88851.5546875
15,0.48877777777777776,0.45589999999999997,88817.296875
16,0.4885555555555555,0.46110000000000007,88781.5234375
17,0.48611111111111105,0.4555,88746.828125
18,0.4892222222222222,0.4535,88711.328125
19,0.489,0.4487000000000001,88677.3203125
20,0.49444444444444446,0.4552999999999999,88643.8515625
21,0.49177777777777776,0.44799999999999995,88608.2265625
22,0.4892222222222222,0.45220000000000005,88574.7109375
23,0.4896666666666667,0.44699999999999995,88540.6328125
24,0.48411111111111105,0.4476,88507.5078125
25,0.4883333333333333,0.45210000000000006,88474.234375
26,0.48811111111111105,0.45610000000000006,88440.9140625
27,0.48444444444444446,0.4447000000000001,88408.4765625
28,0.48311111111111105,0.44999999999999996,88372.9375
29,0.49444444444444446,0.44620000000000004,88340.2890625
30,0.4818888888888889,0.4486,88308.7734375
31,0.488,0.4518,88275.5078125
32,0.496,0.4475,88241.515625
33,0.486,0.4437000000000001,88208.5546875
34,0.4913333333333333,0.44789999999999996,88176.1796875
35,0.49,0.44789999999999996,88144.9140625
36,0.486,0.4458,88111.1484375
37,0.4833333333333334,0.4517,88078.1484375
38,0.484,0.4472999999999999,88046.5546875
39,0.48477777777777786,0.4457000000000001,88012.6484375
40,0.4916666666666667,0.4454,87980.9296875
41,0.477,0.4365,87948.484375
42,0.48277777777777786,0.4532999999999999,87916.0
43,0.48777777777777787,0.44899999999999995,87884.515625
44,0.484,0.44199999999999995,87851.1015625
45,0.4816666666666666,0.4455,87818.4296875
46,0.4813333333333334,0.4425,87787.1484375
47,0.476,0.44689999999999996,87755.3203125
48,0.483,0.4457000000000001,87723.8046875
49,0.4802222222222222,0.4508,87692.4453125
50,0.4788888888888889,0.4537,87660.0390625
51,0.4863333333333334,0.45299999999999996,87626.828125
52,0.4786666666666666,0.4396,87594.9921875
53,0.4848888888888889,0.4488,87565.8046875
54,0.4856666666666666,0.4477000000000001,87532.671875
55,0.4838888888888889,0.45289999999999997,87499.5625
56,0.48211111111111105,0.4474,87468.0078125
57,0.482,0.44189999999999996,87435.9921875
58,0.47644444444444445,0.43799999999999994,87403.90625
59,0.48477777777777786,0.4457000000000001,87372.125
60,0.4873333333333334,0.4486,87341.3359375
61,0.4755555555555555,0.44299999999999995,87307.734375
62,0.49044444444444446,0.4484,87275.2421875
63,0.48344444444444445,0.4448,87242.96875
64,0.4813333333333334,0.4407000000000001,87210.875
65,0.4763333333333334,0.44520000000000004,87179.3515625
66,0.4796666666666666,0.44620000000000004,87147.6953125
67,0.4818888888888889,0.44420000000000004,87115.40625
68,0.4762222222222222,0.44199999999999995,87084.5234375
69,0.48077777777777786,0.4346,87050.9921875
70,0.4805555555555555,0.4432999999999999,87018.484375
71,0.4833333333333334,0.43820000000000003,86987.6953125
72,0.47677777777777786,0.4422999999999999,86956.6640625
73,0.4828888888888889,0.44010000000000005,86923.984375
74,0.4828888888888889,0.44089999999999996,86890.8203125
75,0.48411111111111105,0.44220000000000004,86860.25
76,0.4816666666666666,0.44179999999999997,86829.078125
77,0.4783333333333334,0.44099999999999995,86798.796875
78,0.47677777777777786,0.4325,86765.28125
79,0.47911111111111104,0.4427000000000001,86733.1875
80,0.48644444444444446,0.4425,86701.15625
81,0.48977777777777776,0.4537,86671.2265625
82,0.48544444444444446,0.4495,86638.671875
83,0.4805555555555555,0.4396,86605.328125
84,0.4763333333333334,0.43910000000000005,86571.734375
85,0.48144444444444445,0.43589999999999995,86541.8984375
86,0.4808888888888889,0.4422999999999999,86510.8515625
87,0.4833333333333334,0.44189999999999996,86478.3515625
88,0.4778888888888889,0.43799999999999994,86445.75
89,0.47911111111111104,0.4342999999999999,86415.59375
90,0.4742222222222222,0.44289999999999996,86383.671875
91,0.4833333333333334,0.4374,86351.875
92,0.473,0.43510000000000004,86317.6875
93,0.47211111111111104,0.4347000000000001,86287.5
94,0.4743333333333334,0.43079999999999996,86255.4296875
95,0.4728888888888889,0.43799999999999994,86224.0625
96,0.4762222222222222,0.43620000000000003,86192.078125
97,0.4803333333333334,0.4387000000000001,86160.4375
98,0.47344444444444445,0.43910000000000005,86127.859375
99,0.4873333333333334,0.43720000000000003,86097.1875
100,0.4776666666666667,0.44220000000000004,86064.4609375
101,0.4798888888888889,0.4362999999999999,86033.2734375
102,0.476,0.43579999999999997,86000.9921875
103,0.4776666666666667,0.43810000000000004,85970.3515625
104,0.48711111111111105,0.44099999999999995,85938.671875
105,0.4753333333333334,0.43310000000000004,85906.953125
106,0.47811111111111104,0.4385,85876.0546875
107,0.4793333333333334,0.4375,85843.84375
108,0.479,0.4434,85811.8671875
109,0.4833333333333334,0.4384,85779.890625
110,0.48744444444444446,0.4434,85747.7890625
111,0.4748888888888889,0.4375,85716.1171875
112,0.48077777777777786,0.43979999999999997,85684.34375
113,0.4806666666666666,0.4357000000000001,85651.8828125
114,0.4793333333333334,0.43189999999999995,85619.3671875
115,0.4763333333333334,0.43420000000000003,85587.609375
116,0.479,0.43920000000000003,85555.9375
117,0.4776666666666667,0.4415,85524.0
118,0.47244444444444444,0.43810000000000004,85494.3671875
119,0.4815555555555555,0.44089999999999996,85463.828125
120,0.48044444444444445,0.4344,85432.25
121,0.486,0.4416,85401.2890625
122,0.4796666666666666,0.42900000000000005,85368.984375
123,0.48577777777777786,0.4387000000000001,85337.5546875
124,0.4786666666666666,0.4272,85305.6171875
125,0.4763333333333334,0.4292999999999999,85273.8515625
126,0.4786666666666666,0.43500000000000005,85241.265625
127,0.47877777777777786,0.43389999999999995,85210.7109375
128,0.48044444444444445,0.43879999999999997,85179.328125
129,0.4736666666666667,0.4285,85147.1953125
130,0.4835555555555555,0.44310000000000005,85117.59375
131,0.48277777777777786,0.44989999999999997,85084.125
132,0.48077777777777786,0.4355,85052.59375
133,0.478,0.4334,85021.359375
134,0.477,0.4404,84990.109375
135,0.47944444444444445,0.44210000000000005,84957.671875
136,0.4705555555555555,0.4384,84925.9765625
137,0.4718888888888889,0.43189999999999995,84894.1015625
138,0.4688888888888889,0.43600000000000005,84861.375
139,0.4765555555555555,0.4342999999999999,84829.703125
140,0.4743333333333334,0.43589999999999995,84799.4609375
141,0.4853333333333334,0.4488,84768.609375
142,0.472,0.4334,84736.7109375
143,0.4816666666666666,0.44079999999999997,84706.21875
144,0.4746666666666667,0.43220000000000003,84673.78125
145,0.4768888888888889,0.4397000000000001,84643.0234375
146,0.4743333333333334,0.4376,84611.0
147,0.4705555555555555,0.43379999999999996,84579.75
148,0.4778888888888889,0.4355,84547.1640625
149,0.47077777777777785,0.4334,84514.328125
150,0.4696666666666667,0.4357000000000001,84484.4765625
151,0.4725555555555555,0.4356,84453.5625
152,0.4705555555555555,0.4344,84421.2421875
153,0.4725555555555555,0.4292,84389.96875
154,0.4778888888888889,0.44020000000000004,84357.8203125
155,0.4755555555555555,0.4375,84328.1875
156,0.4768888888888889,0.43920000000000003,84297.453125
157,0.47111111111111104,0.4416,84265.609375
158,0.4753333333333334,0.44299999999999995,84234.09375
159,0.4683333333333334,0.4342999999999999,84201.7265625
160,0.47411111111111104,0.43810000000000004,84170.203125
161,0.46477777777777785,0.4334,84139.1640625
162,0.4805555555555555,0.4325,84108.28125
163,0.4722222222222222,0.4356,84076.0390625
164,0.47677777777777786,0.4416,84044.328125
165,0.4678888888888889,0.43520000000000003,84011.8515625
166,0.4782222222222222,0.43899999999999995,83980.6015625
167,0.4742222222222222,0.43489999999999995,83949.4921875
168,0.46944444444444444,0.43610000000000004,83918.09375
169,0.4718888888888889,0.43100000000000005,83887.0546875
170,0.4695555555555555,0.43820000000000003,83854.09375
171,0.48011111111111104,0.43700000000000006,83823.5
172,0.4742222222222222,0.4336,83792.734375
173,0.4785555555555555,0.44099999999999995,83760.1484375
174,0.4845555555555555,0.4412999999999999,83730.3046875
175,0.4778888888888889,0.43700000000000006,83699.4375
176,0.4783333333333334,0.4332999999999999,83667.1953125
177,0.475,0.43679999999999997,83636.703125
178,0.4752222222222222,0.4386,83604.4375
179,0.4816666666666666,0.44110000000000005,83572.53125
180,0.46711111111111103,0.4325,83541.84375
181,0.473,0.43600000000000005,83510.5
182,0.47511111111111104,0.4334,83477.859375
183,0.4693333333333334,0.43500000000000005,83446.234375
184,0.46911111111111103,0.43089999999999995,83415.1171875
185,0.48177777777777786,0.44089999999999996,83385.3046875
186,0.4713333333333334,0.4362999999999999,83353.5625
187,0.469,0.43710000000000004,83322.296875
188,0.47377777777777785,0.4377000000000001,83291.015625
189,0.4712222222222222,0.43600000000000005,83259.921875
190,0.4753333333333334,0.43720000000000003,83228.578125
191,0.47444444444444445,0.4316,83196.3046875
192,0.4732222222222222,0.4296,83164.9453125
193,0.47277777777777785,0.4397000000000001,83133.703125
194,0.4713333333333334,0.4352999999999999,83102.9296875
195,0.4758888888888889,0.4357000000000001,83071.1484375
196,0.4688888888888889,0.43920000000000003,83040.1953125
197,0.46977777777777785,0.4386,83008.0
198,0.475,0.4406,82975.8203125
199,0.4755555555555555,0.43310000000000004,82944.9296875
200,0.4705555555555555,0.4347000000000001,82913.5078125
201,0.4795555555555555,0.43520000000000003,82883.7734375
202,0.4723333333333334,0.43710000000000004,82852.8125
203,0.4735555555555555,0.42989999999999995,82819.4921875
204,0.4712222222222222,0.4307000000000001,82788.578125
205,0.4726666666666667,0.4367000000000001,82756.515625
206,0.4736666666666667,0.4294,82725.625
207,0.47311111111111104,0.4294,82694.21875
208,0.4773333333333334,0.4357000000000001,82664.4375
209,0.4775555555555555,0.4396,82632.3671875
210,0.4735555555555555,0.43379999999999996,82601.1875
211,0.4773333333333334,0.43810000000000004,82569.4609375
212,0.4808888888888889,0.43400000000000005,82537.484375
213,0.4728888888888889,0.43520000000000003,82507.6328125
214,0.47677777777777786,0.44199999999999995,82477.28125
215,0.4845555555555555,0.44299999999999995,82444.4375
216,0.4703333333333334,0.4336,82411.9375
217,0.4732222222222222,0.4362999999999999,82380.734375
218,0.46344444444444444,0.4262999999999999,82349.1796875
219,0.4743333333333334,0.43600000000000005,82317.84375
220,0.47344444444444445,0.4306,82286.3359375
221,0.4733333333333334,0.4355,82257.3203125
222,0.4766666666666667,0.4374,82225.1484375
223,0.48444444444444446,0.44079999999999997,82193.3046875
224,0.4736666666666667,0.43089999999999995,82162.4140625
225,0.47044444444444444,0.4396,82129.3359375
226,0.46799999999999997,0.4297000000000001,82097.21875
227,0.4733333333333334,0.43010000000000004,82064.984375
228,0.4773333333333334,0.4295,82032.9765625
229,0.4685555555555555,0.43799999999999994,82003.0078125
230,0.4808888888888889,0.4395,81971.6953125
231,0.46644444444444444,0.4337000000000001,81941.3046875
232,0.47244444444444444,0.4317000000000001,81909.6484375
233,0.472,0.4324,81877.4765625
234,0.4733333333333334,0.4365,81848.3203125
235,0.4793333333333334,0.4352999999999999,81818.0390625
236,0.4658888888888889,0.43210000000000004,81784.671875
237,0.4682222222222222,0.42900000000000005,81752.71875
238,0.47344444444444445,0.43410000000000004,81721.9765625
239,0.47677777777777786,0.42900000000000005,81691.0
240,0.4736666666666667,0.4347000000000001,81659.2890625
241,0.4725555555555555,0.43589999999999995,81628.421875
242,0.4752222222222222,0.43389999999999995,81596.5546875
243,0.4745555555555555,0.4316,81567.1484375
244,0.48044444444444445,0.4332999999999999,81536.640625
245,0.4708888888888889,0.4345,81504.625
246,0.471,0.43799999999999994,81471.71875
247,0.4696666666666667,0.43210000000000004,81440.1875
248,0.47411111111111104,0.4362999999999999,81409.4921875
249,0.4683333333333334,0.43079999999999996,81378.3515625
250,0.4715555555555555,0.43410000000000004,81348.3046875
251,0.47011111111111104,0.43200000000000005,81315.421875
252,0.4743333333333334,0.4302999999999999,81282.8046875
253,0.477,0.4365,81251.4765625
254,0.4716666666666667,0.43389999999999995,81220.15625
255,0.47944444444444445,0.4384,81190.0703125
256,0.4708888888888889,0.4372999999999999,81158.6015625
257,0.47444444444444445,0.43700000000000006,81128.2578125
258,0.479,0.44179999999999997,81097.1484375
259,0.4738888888888889,0.4374,81066.0859375
260,0.4686666666666667,0.4346,81035.6015625
261,0.47377777777777785,0.4336,81003.921875
262,0.4816666666666666,0.43479999999999996,80971.9140625
263,0.4736666666666667,0.4347000000000001,80940.9921875
264,0.4776666666666667,0.43979999999999997,80908.890625
265,0.4715555555555555,0.42889999999999995,80876.7578125
266,0.4788888888888889,0.4296,80845.3671875
267,0.4756666666666667,0.44289999999999996,80814.953125
268,0.47311111111111104,0.4364,80783.0078125
269,0.47611111111111104,0.4306,80752.0625
270,0.4765555555555555,0.4306,80720.546875
271,0.47211111111111104,0.43389999999999995,80690.109375
272,0.4688888888888889,0.4377000000000001,80658.1796875
273,0.481,0.44120000000000004,80626.90625
274,0.47711111111111104,0.4376,80595.8359375
275,0.4748888888888889,0.4326,80565.4375
276,0.47111111111111104,0.4332999999999999,80533.734375
277,0.4682222222222222,0.43589999999999995,80501.4921875
278,0.47377777777777785,0.4284,80470.625
279,0.4772222222222222,0.4372999999999999,80438.8203125
280,0.46711111111111103,0.4324,80406.3828125
281,0.47144444444444444,0.4334,80375.5625
282,0.46844444444444444,0.4317000000000001,80344.78125
283,0.46077777777777784,0.42889999999999995,80314.828125
284,0.471,0.43320000000000003,80283.234375
285,0.47377777777777785,0.4364,80251.90625
286,0.4715555555555555,0.4375,80221.625
287,0.47344444444444445,0.4282999999999999,80190.0078125
288,0.46677777777777785,0.4406,80157.7421875
289,0.47344444444444445,0.4345,80128.328125
290,0.47544444444444445,0.43700000000000006,80097.109375
291,0.4802222222222222,0.4392999999999999,80065.90625
292,0.4756666666666667,0.4264,80034.3359375
293,0.4685555555555555,0.4307000000000001,80001.984375
294,0.4692222222222222,0.43320000000000003,79970.53125
295,0.47611111111111104,0.4306,79938.15625
296,0.4768888888888889,0.43589999999999995,79908.140625
297,0.4762222222222222,0.4264,79876.328125
298,0.4836666666666666,0.4396,79846.7109375
299,0.4748888888888889,0.4344,79814.65625
300,0.4738888888888889,0.4336,79783.7890625
301,0.4688888888888889,0.4257000000000001,79751.5546875
